etso;nm_source;proprietario;operatore;impianto;company;localita_estesa;localita;provincia;latitudine;longitudine;zona;descrizione;tipo;sottotipo;mgp;mi;msd;pmin;pmax
UP_GRESSONEY_1;;C.V.A. SPA;C.V.A. TRADING SRL;GRESSONEY;C.V.A.;11020 GRESSONEY-LA-TRINITÈ AO;GRESSONEY-LA-TRINITÈ;AO;45,8734714;7,8384233;NORD;U.P. N 1 - GRESSONEY;IDRICO;SERBATOIO;SI;SI;SI;1;12
UP_MAEN_5;;C.V.A. SPA;C.V.A. TRADING SRL;MAEN CIGNANA;C.V.A.;11028 VALTOURNENCHE AO;VALTOURNENCHE;AO;45,8772069;7,6222043;NORD;UP CREATA PER IL GR. 3 (MAEN SALTO CIGNANA)-TERM. CIP 6: 10/10/2010;IDRICO;SERBATOIO;SI;SI;SI;2;22
UP_PERRERES_1;;C.V.A. SPA;C.V.A. TRADING SRL;PERRERES;C.V.A.;11028 VALTOURNENCHE AO;VALTOURNENCHE;AO;45,8692069;7,6222043;NORD;U.P. N 1 - PERRERES;IDRICO;SERBATOIO;SI;SI;SI;3;18
UP_VALPELLIN_1;;C.V.A. SPA;C.V.A. TRADING SRL;VALPELLINE;C.V.A.;11010 VALPELLINE AO;VALPELLINE;AO;45,8257747;7,3267545;NORD;U.P. N 1 - VALPELLINE;IDRICO;SERBATOIO;SI;SI;SI;13;130
UP_NOCE_1;;DOLOMITI EDISON ENERGY SRL;EDISON TRADING SPA;TAIO;EDISON;38012 TAIO TN;TAIO;TN;46,327425;11,0588028;NORD;ASTA NOCE;IDRICO;ASTA;SI;SI;SI;2;161
UP_AMPEZZO_1;;EDIPOWER SPA;A2A TRADING SRL;AMPEZZO;A2A;33021 AMPEZZO UD;AMPEZZO;UD;46,4173353;12,7900899;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO AMPEZZO;IDRICO;SERBATOIO;SI;SI;SI;9;55
UP_BRINDISI_3;;EDIPOWER SPA;EDIPOWER SPA;BRINDISI NORD;EDIPOWER;72100 BRINDISI BR;BRINDISI;BR;40,6443798;17,9743429;BRNN;Unità di Produzione n 3 dell`Impianto BRINDISI N;TERMICO;TRADIZIONALE;SI;SI;SI;149;250
UP_BRINDISI_4;;EDIPOWER SPA;EDIPOWER SPA;BRINDISI NORD;EDIPOWER;72100 BRINDISI BR;BRINDISI;BR;40,6393798;17,9813429;BRNN;Unità di Produzione n 4 dell`Impianto BRINDISI N;TERMICO;TRADIZIONALE;SI;SI;SI;149;250
UP_BUSSENTO_1;;EDIPOWER SPA;IREN MERCATO SPA;BUSSENTO;IREN;84030 MORIGERATI SA;MORIGERATI;SA;40,1397354;15,5540727;CSUD;Unità di Produzione n 1 dell`Impianto BUSSENTO;IDRICO;BACINO;SI;SI;SI;8;60
UP_CHIVASSO_1;PIP;EDIPOWER SPA;A2A TRADING SRL;CHIVASSO;A2A;10034 CHIVASSO TO;CHIVASSO;TO;45,1900384;7,888952;NORD;CHIVASSO GRUPPO 1 CCGT;TERMICO;COMBINATO;SI;SI;SI;245;753
