etso;nm_source;proprietario;operatore;impianto;company;localita_estesa;localita;provincia;latitudine;longitudine;zona;descrizione;tipo;sottotipo;mgp;mi;msd;pmin;pmax
UP_RANCIA_2_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;RANCIA 2;ENEL;53030 RADICONDOLI SI;RADICONDOLI;SI;43,2761791;11,022548;CNOR;GRUPPO UNIFICATO DA 20 MW ;GEOTERMICO;GEOTERMICO;SI;SI;NO;4;18,7
UP_STRRNMANNA_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;SA TURRINA MANNA;ENEL;07030 ERULA SS;ERULA;SS;40,7897204;8,9433947;SARD;28 MACCHINE DA 850 KW E 6 MACCHINE DA 1500KW PER UNA PEFF TOTALE DI 32,8MW ;EOLICO;EOLICO;SI;SI;NO;0,01;32,8
UP_SNPTRVLLNA_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;SAN PIETRO AVELLANA;ENEL;86088 SAN PIETRO AVELLANA IS;SAN PIETRO AVELLANA;IS;41,7909566;14,1830568;SUD;IMPIANTO EOLICO;EOLICO;EOLICO;SI;SI;NO;0,1;10,2
UP_SANFRONT_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;SANFRONT;ENEL;12030 SANFRONT CN;SANFRONT;CN;44,6489775;7,3179712;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO SANFRONT;IDRICO;FLUENTE;SI;SI;NO;2;14,4
UP_SASSO2_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;SASSO 2;ENEL;38050 CASTELNUOVO TN;CASTELNUOVO;TN;46,0519097;11,4941326;CNOR;UNITÀ DI PRODUZIONE ASSOCIATA ALL`IMPIANTO GEOTERMICO DI SASSO 2 ;GEOTERMICO;GEOTERMICO;SI;SI;NO;4;20
UP_SCLFNBGNI2_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;SCLAFANI BAGNI 2;ENEL;90020 SCLAFANI BAGNI PA;SCLAFANI BAGNI;PA;37,8211745;13,8547586;SICI;UP SCLAFANI BAGNI ;EOLICO;EOLICO;SI;SI;NO;0,01;12,75
UP_S.DAMIANO_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;S.DAMIANO;ENEL;12029 SAN DAMIANO MACRA CN;SAN DAMIANO MACRA;CN;44,4881697;7,2517534;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO S.DAMIANO ;IDRICO;FLUENTE;SI;SI;NO;1;12,4
UP_SELVA_1_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;SELVA 1;ENEL;38050 CASTELNUOVO TN;CASTELNUOVO;TN;46,0569097;11,4871326;CNOR;GRUPPO UNIFICATO DA 20 MW SECONDA GENERAZIONE ;GEOTERMICO;GEOTERMICO;SI;SI;NO;4;19,4
UP_SRRCHPPONI_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;SERRA CHIAPPONI;ENEL;86092 ROCCAMANDOLFI IS;ROCCAMANDOLFI;IS;41,4951677;14,3520857;SUD;SERRA CHIAPPONI 12 AEROGENERATORI DA 0,85MW ;EOLICO;EOLICO;SI;SI;NO;0,1;10,2
UP_SRRMRROCCO_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;SERRA MARROCCO;ENEL;94014 NICOSIA EN;NICOSIA;EN;37,7469231;14,3952782;SICI;IMPIANTO EOLICO CON 55 AEROGENERATORI DA 850 KW PER UNA POT. EFF COMPLESS. DI 46,75 MW ;EOLICO;EOLICO;SI;SI;NO;0,01;46,75
UP_SESTA_1_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;SESTA 1;ENEL;53030 RADICONDOLI SI;RADICONDOLI;SI;43,2811791;11,015548;CNOR;IMPIANTO DI SESTA (SI), GRUPPO UNIFICATO DA 20 MW DI 2^ GENERAZIONE;GEOTERMICO;GEOTERMICO;SI;SI;NO;4;18,1
UP_SORIO_NUO_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;SORIO NUOVA;ENEL;37057 SAN GIOVANNI LUPATOTO VR;SAN GIOVANNI LUPATOTO;VR;45,3823658;11,0444905;NORD;ASSOCIAZIONE GENERATORI UNITÀ DI PRODUZIONEGR.1GR.2 ;IDRICO;FLUENTE;NO;NO;NO;1;11
UP_SPTROORZIO_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;S.PIETRO ORZIO;ENEL;24015 SAN GIOVANNI BIANCO BG;SAN GIOVANNI BIANCO;BG;45,8759531;9,6522427;NORD;3 GEN  DERIV. BREMBO E 2 GEN  DERIV.PARINA ;IDRICO;FLUENTE;SI;SI;NO;1,5;10,2
UP_SUIO_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;SUIO;ENEL;81037 SESSA AURUNCA CE;SESSA AURUNCA;CE;41,2383257;13,9325868;CSUD;G1  G2 G3 ;IDRICO;FLUENTE;SI;SI;NO;1,8;7,76
UP_TORNAVENT_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;TORNAVENTO;ENEL;21015 LONATE POZZOLO VA;LONATE POZZOLO;VA;45,5993133;8,753802;NORD;Unità di Produzione n 1 dell`Impianto TORNAVENTO ;IDRICO;FLUENTE;SI;SI;NO;1,8;7,4
UP_TRAVALE_3_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;TRAVALE 3;ENEL;58026 MONTIERI GR;MONTIERI;GR;43,1306661;11,0160694;CNOR;GRUPPO UNIFICATO DA 20 MW DI 2^ GENERAZIONE ;GEOTERMICO;GEOTERMICO;SI;SI;NO;4;20
UP_TRAVALE_4_2;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;TRAVALE 4;ENEL;58026 MONTIERI GR;MONTIERI;GR;43,1356661;11,0090694;CNOR;GRUPPO UNIFICATO DA 40 MW ;GEOTERMICO;GEOTERMICO;SI;SI;NO;8;39,5
UP_TRIANO_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;TRIANO;ENEL;66100 CHIETI CH;CHIETI;CH;42,347886;14,1635845;CSUD;Unità di Produzione n 1 dell`Impianto TRIANO ;IDRICO;FLUENTE;SI;SI;NO;0;24
UP_TULA2_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;TULA 2;ENEL;07010 TULA SS;TULA;SS;40,7299609;8,9833983;SARD;UNITÀ DI PRUDUZIONE ASSOCIATA ALL`IMPIANTO TULA 2;EOLICO;EOLICO;SI;SI;NO;0,1;51
UP_TURBIGO_S_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;TURBIGO S.;ENEL;20029 TURBIGO MI;TURBIGO;MI;45,5429915;8,722665;NORD;Unità di Produzione n 1 dell`Impianto TURBIGO S. ;IDRICO;FLUENTE;SI;SI;NO;2,6;10
UP_VALLE_SEC_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;VALLE SECOLO;ENEL;56045 POMARANCE PI;POMARANCE;PI;43,319041;10,8441881;CNOR;G1 G2 ;GEOTERMICO;GEOTERMICO;SI;SI;NO;12;114
UP_VARZO_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;VARZO;ENEL;28868 VARZO VB;VARZO;VB;46,2088946;8,2526009;NORD;UNITÀ DI PRODUZIONE N 1 DI VARZO.;IDRICO;FLUENTE;SI;SI;NO;3,88;15,5
UP_VARZO_2_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;VARZO 2;ENEL;28868 VARZO VB;VARZO;VB;46,2138946;8,2456009;NORD;GR1 FLU GR2 FLU ;IDRICO;FLUENTE;SI;SI;NO;0;32
UP_VILLA_S.M_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;VILLA S.MARIA;ENEL;66040 MONTELAPIANO CH;MONTELAPIANO;CH;41,9641622;14,3410294;CSUD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO VILLA S.MARIA ;IDRICO;FLUENTE;SI;SI;NO;0;60
UP_VINADIO_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;VINADIO;ENEL;12010 VINADIO CN;VINADIO;CN;44,3077779;7,1764392;NORD;IMPIANTO A BACINO DI VINADIOGR.1 E 2 CON TURBINA FRANCIS;IDRICO;BACINO;SI;SI;NO;5;60
UP_VINCHIANA_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;VINCHIANA;ENEL;55100 LUCCA LU;LUCCA;LU;43,8376211;10,4950609;CNOR;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO VINCHIANA ;IDRICO;FLUENTE;SI;SI;NO;1;22
UP_VIZZOLA_T_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;VIZZOLA T.;ENEL;21010 VIZZOLA TICINO VA;VIZZOLA TICINO;VA;45,6295015;8,6873441;NORD;Unità di Produzione n 1 dell`Impianto VIZZOLA T. ;IDRICO;FLUENTE;SI;SI;NO;3,9;31,8
UP_ZEVIO_1;;ENEL GREEN POWER S.P.A.;ENEL PRODUZIONE SPA;ZEVIO;ENEL;37059 ZEVIO VR;ZEVIO;VR;45,3717016;11,1335491;NORD;Unità di Produzione n 1 dell`Impianto ZEVIO ;IDRICO;FLUENTE;SI;SI;NO;0;16
UP_ACCEGLIO_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;ACCEGLIO;ENEL;12021 ACCEGLIO CN;ACCEGLIO;CN;44,475015;6,988893;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO ACCEGLIO;IDRICO;BACINO;SI;SI;NO;1;18
UP_AGORDO_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;AGORDO;ENEL;32021 AGORDO BL;AGORDO;BL;46,2838939;12,0345018;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO AGORDO;IDRICO;BACINO;SI;SI;NO;1;24,5
UP_LESSANDRIA_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;ALESSANDRIA;ENEL; ALESSANDRIA AL;ALESSANDRIA;AL;44,9072727;8,6116796;NORD;UNITÀ DI PRODUZIONE N 1 DEL TURBOGAS 1;TERMICO;TURBOGAS;NO;NO;NO;9,5;87,3
UP_LESSANDRIA_2;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;ALESSANDRIA;ENEL; ALESSANDRIA AL;ALESSANDRIA;AL;44,9122727;8,6046796;NORD;UNITÀ DI PRODUZIONE DEL TURBOGAS 2;TERMICO;TURBOGAS;NO;NO;NO;9,5;87,3
UP_ANDONNO_C_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;ANDONNO C.;ENEL;12010 ANDONNO CN;ANDONNO;CN;44,2952993;7,429003;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO ANDONNO C.;IDRICO;BACINO;SI;SI;NO;5;55
UP_ARDENNO_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;ARDENNO;ENEL;23011 ARDENNO SO;ARDENNO;SO;46,1700698;9,6507395;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO ARDENNO;IDRICO;BACINO;SI;SI;NO;1;56,7
UP_PORTA_ROM_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;ASCOLI PORTA ROMANA;ENEL;63100 ASCOLI PICENO AP;ASCOLI PICENO;AP;42,8536043;13,5749442;CNOR;UNITA` DI PRODUZIONE IDRICA FLUENTE ;IDRICO;FLUENTE;SI;SI;NO;2;16
UP_AUGUSTA_C_2;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;AUGUSTA C.LE;ENEL;96011 AUGUSTA SR;AUGUSTA;SR;37,2550684;15,2146971;SICI;Unità di Produzione n 2 dell`Impianto AUGUSTA C.LE ;TERMICO;TRADIZIONALE;NO;NO;NO;25;64
UP_BARCA_CLE_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;BARCA CLE ;ENEL;95047 PATERNÒ CT;PATERNÒ;CT;37,5677631;14,8933299;SICI;IMPIANTO DI BARCA (CT)3 GR. CON TURBINA FRANCIS ;IDRICO;FLUENTE;SI;SI;NO;0,25;8,9
UP_BARI_TE_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;BARI;ENEL; BARI BA;BARI;BA;41,1171432;16,8718715;SUD;Unità di Produzione n 1 dell`Impianto BARI TE;TERMICO;TRADIZIONALE;NO;NO;NO;19;64,7
UP_BARI_TE_2;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;BARI;ENEL; BARI BA;BARI;BA;41,1221432;16,8648715;SUD;Unità di Produzione n 2 dell`Impianto BARI TE;TERMICO;TRADIZIONALE;NO;NO;NO;19;64,7
UP_BARI_TE_3;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;BARI;ENEL; BARI BA;BARI;BA;41,1271432;16,8578715;SUD;Unità di Produzione n 3 dell`Impianto BARI TE;TERMICO;TRADIZIONALE;NO;NO;NO;19;64,7
UP_BORDOGNA_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;BORDOGNA;ENEL;24100 BORDOGNA BG;BORDOGNA;BG;45,9519853;9,7183883;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO BORDOGNA;IDRICO;BACINO;SI;SI;NO;5;48
UP_BROSSASCO_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;BROSSASCO;ENEL;12020 BROSSASCO CN;BROSSASCO;CN;44,5699208;7,3627817;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO BROSSASCO;IDRICO;BACINO;SI;SI;NO;2,5;35,6
UP_CADARESE_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;CADARESE;ENEL;28866 PREMIA VB;PREMIA;VB;46,2684112;8,3402892;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO CADARESE ;IDRICO;FLUENTE;SI;SI;NO;0;68
UP_CMRTPICENA_5;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;CAMERATA PICENA;ENEL;60020 CAMERATA PICENA AN;CAMERATA PICENA;AN;43,5792055;13,3523223;CNOR;UP DEI GRUPPI N 1 E N 2 DI CAMERATA PICENA ( DI PUNTA );TERMICO;TURBOGAS;NO;NO;NO;5;25,5
UP_CMRTPICENA_6;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;CAMERATA PICENA;ENEL;60020 CAMERATA PICENA AN;CAMERATA PICENA;AN;43,5842055;13,3453223;CNOR;UP DEI GRUPPI N 3 E N 4 DI CAMERATA PICENA ( DI PUNTA );TERMICO;TURBOGAS;NO;NO;NO;10;51
UP_CMPLCCIOLI_2;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;CAMPLICCIOLI;ENEL;28841 ANTRONA SCHIERANCO VB;ANTRONA SCHIERANCO;VB;46,068473;8,117387;NORD;IMPIANTO A DOPPIA DERIVAZIONE SERBATOIO CAMPOSECCO E SERBATOIO CIGINO;IDRICO;SERBATOIO;SI;SI;NO;0;8,9
UP_CAMPOMARI_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;CAMPOMARINO;ENEL;86042 CAMPOMARINO CB;CAMPOMARINO;CB;41,956919;15,0354554;SUD;UNITA` DI PRODUZIONE 1 IMPIANTO DI CAMPOMARINO;TERMICO;TURBOGAS;NO;NO;NO;9,5;87,4
UP_CANEVA_2;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;CANEVA;ENEL;33070 CANEVA PN;CANEVA;PN;45,9681261;12,4480132;NORD;UNITÀ DI PRODUZIONE N 2 DEL GR. N 1 E N 2 ;IDRICO;FLUENTE;SI;SI;NO;12;36
UP_CANTERNO_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;CANTERNO;ENEL;03013 FERENTINO FR;FERENTINO;FR;41,6956788;13,2577285;CSUD;G1;IDRICO;SERBATOIO;SI;SI;NO;0,5;11,64
UP_CPODIPONTE_3;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;CAPODIPONTE;ENEL;25044 CAPO DI PONTE BS;CAPO DI PONTE;BS;46,029861;10,3466388;NORD;UNITA` DI PRODUZIONE N 2 DELL`IMPIANTO CAPODIPONTE ;IDRICO;FLUENTE;SI;SI;NO;0;9,1
UP_CARPI_TUR_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;CARPI TURBOGAS;ENEL;41012 CARPI MO;CARPI;MO;44,7838779;10,8796629;NORD;UNITÀ DI PRODUZIONE GRUPPO 1 A GAS;TERMICO;TURBOGAS;NO;NO;NO;9,5;87,3
UP_CARPI_TUR_2;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;CARPI TURBOGAS;ENEL;41012 CARPI MO;CARPI;MO;44,7888779;10,8726629;NORD;UNITA DI PRODUZIONE N  2 GRUPPO 2 A GAS;TERMICO;TURBOGAS;NO;NO;NO;9,5;87,3
UP_CASSINO_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;CASSINO;ENEL;03049 SANT'ELIA FIUMERAPIDO FR;SANT'ELIA FIUMERAPIDO;FR;41,5557711;13,833699;CSUD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO CASSINO;IDRICO;BACINO;SI;SI;NO;0;48
UP_CASTELLET_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;CASTELLETTO;ENEL;31012 CAPPELLA MAGGIORE TV;CAPPELLA MAGGIORE;TV;45,9693124;12,3516721;NORD;Unità di Produzione n 1 dell`Impianto CASTELLETTO ;IDRICO;FLUENTE;SI;SI;NO;0,5;17
UP_CASUZZE_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;CASUZZE;ENEL; PALERMO PA;PALERMO;PA;38,1156879;13,3612671;SICI;CENTRALE DI CASUZZE (PA)GR.1,2 E 3 CON TURBINE PELTON ;IDRICO;FLUENTE;SI;SI;NO;0,97;8,7
UP_CEDEGOLO_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;CEDEGOLO;ENEL;25051 CEDEGOLO BS;CEDEGOLO;BS;46,0820081;10,3418161;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO CEDEGOLO;IDRICO;BACINO;SI;SI;NO;2,8;14,5
UP_CEPRANO_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;CEPRANO;ENEL;03024 CEPRANO FR;CEPRANO;FR;41,5443553;13,512173;CSUD;CENTRALE DI CEPRANO (FR) GR.1 GR.2 E GR.3 - TURBINE FRANCIS;IDRICO;BACINO;SI;SI;NO;0,7;10,67
UP_COMUNACQU_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;COMUNACQUA;ENEL;03010 TREVI NEL LAZIO FR;TREVI NEL LAZIO;FR;41,8610008;13,2476472;CSUD;G1 G2;IDRICO;BACINO;SI;SI;NO;0,6;8
UP_COMUNANZA_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;COMUNANZA;ENEL;63087 COMUNANZA AP;COMUNANZA;AP;42,9546532;13,4120389;CNOR;CENTRALE IDROELETTRICA DI COMUNANZA CON 2 GRUPPI CON TURBINA FRANCIS ;IDRICO;FLUENTE;SI;SI;NO;0,3;8,5
UP_CONTRASTO_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;CONTRASTO C.LE;ENEL;95031 ADRANO CT;ADRANO;CT;37,6627555;14,8326154;SICI;G1 ;IDRICO;FLUENTE;SI;SI;NO;0;35
UP_CORFINO_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;CORFINO;ENEL;67030 CORFINIO AQ;CORFINIO;AQ;42,1219109;13,8403907;CNOR;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO CORFINO;IDRICO;BACINO;SI;SI;NO;4;15
UP_CREGO_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;CREGO;ENEL;28862 CRODO VB;CRODO;VB;46,2249416;8,3234082;NORD;UNITÀ DI PRODUZIONE GR.1 E GR.2 ;IDRICO;FLUENTE;SI;SI;NO;0;39,32
UP_CREVA_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;CREVA;ENEL;21016 LUINO VA;LUINO;VA;46,0018022;8,7464;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO CREVA;IDRICO;BACINO;SI;SI;NO;0,5;11
UP_CROT_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;CROT;ENEL;10070 USSEGLIO TO;USSEGLIO;TO;45,2322859;7,2171703;NORD;IMPIANTO A BACINO DI CROTGR.1 E GR.2 CON TURBINE PELTON ;IDRICO;FLUENTE;SI;SI;NO;1;17
UP_DOSSI_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;DOSSI;ENEL;24020 VALBONDIONE BG;VALBONDIONE;BG;46,0403034;10,0152397;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO DOSSI;IDRICO;SERBATOIO;SI;SI;NO;5,445;43,415
UP_FARNETA_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;FARNETA;ENEL;41045 MONTEFIORINO MO;MONTEFIORINO;MO;44,3570191;10,6218518;NORD;IMPIANTO A BACINO DI FARNETAGR.1 CON TURBINA FRANCIS;IDRICO;BACINO;SI;SI;NO;14;30,34
UP_FEDIO_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;FEDIO;ENEL;12014 DEMONTE CN;DEMONTE;CN;44,3148054;7,2944712;NORD;IMPIANTO A BACINO DI FEDIOGR.1 CON TURBINA PELTON;IDRICO;BACINO;SI;SI;NO;0,5;10
UP_FLUMENDOS_6;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;FLUMENDOSA 2;ENEL;08049 VILLAGRANDE STRISAILI OG;VILLAGRANDE STRISAILI;OG;39,9560677;9,5095895;SARD;G1 G2 G3;IDRICO;SERBATOIO;SI;SI;NO;0,5;28,2
UP_FLUMENDOS_5;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;FLUMENDOSA 3;ENEL;08049 VILLAGRANDE STRISAILI OG;VILLAGRANDE STRISAILI;OG;39,9610677;9,5025895;SARD;G1 G2;IDRICO;SERBATOIO;SI;SI;NO;0,3;9,6
UP_FONDOVALL_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;FONDOVALLE;ENEL;28863 FORMAZZA VB;FORMAZZA;VB;46,3759331;8,4272371;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO FONDOVALLE ;IDRICO;FLUENTE;SI;SI;NO;0;9
UP_FORNO_DI_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;FORNO DI ZOLDO;ENEL;32012 FORNO DI ZOLDO BL;FORNO DI ZOLDO;BL;46,3523327;12,1835021;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO FORNO DI ZOLDO ;IDRICO;FLUENTE;SI;SI;NO;1,5;10,5
UP_FUCINE_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;FUCINE;ENEL;10070 VIÙ TO;VIÙ;TO;45,237992;7,3693443;NORD;IMPIANTO DI FUCINEAD ACQUA FLUENTE, GR.1 CON TURBINA FRANCIS ;IDRICO;FLUENTE;SI;SI;NO;2,341;13,279
UP_FURLO_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;FURLO;ENEL;61033 FERMIGNANO PU;FERMIGNANO;PU;43,6750386;12,6483884;CNOR;G1 G2 G3 G4;IDRICO;BACINO;SI;SI;NO;1;13
UP_FUSINAT_6;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;FUSINA T.;ENEL; VENEZIA VE;VENEZIA;VE;45,4408474;12,3155151;NORD;UP ASSOCIATA ALL`IMPIANTO SPERIMENTALE AD IDROGENO;TERMICO;TURBOGAS;SI;SI;NO;2;11
UP_GALLICANO_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;GALLICANO;ENEL;55027 GALLICANO LU;GALLICANO;LU;44,062227;10,4387128;CNOR;UNITÀ PRODUTTIVA 1 GR. 1 BAC ;IDRICO;FLUENTE;SI;SI;NO;1,3;25,2
UP_GARDONA_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;GARDONA;ENEL;32010 CASTELLAVAZZO BL;CASTELLAVAZZO;BL;46,282642;12,306864;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO GARDONA ;IDRICO;FLUENTE;SI;SI;NO;2;13
UP_GENOVA_T_3;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;GENOVA T.;ENEL; GENOVA GE;GENOVA;GE;44,4056499;8,946256;NORD;UNITÀ DI PRODUZIONE N 3 DELL`IMPIANTO GENOVA T.;TERMICO;TRADIZIONALE;NO;NO;NO;48;65
UP_GENOVA_T_4;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;GENOVA T.;ENEL; GENOVA GE;GENOVA;GE;44,4106499;8,939256;NORD;UNITÀ DI PRODUZIONE 4 IMPIANTO DI GENOVA;TERMICO;TRADIZIONALE;NO;NO;NO;48;65
UP_GEROSA_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;GEROSA;ENEL;24010 GEROSA BG;GEROSA;BG;45,8501169;9,5742666;CNOR;CENTRALE DI GEROSA (AP)IMPIANTO A BACINO - GR.1 E 2 CON TURBINE PELTON;IDRICO;BACINO;SI;SI;NO;0,5;14
UP_GIUGLIANO_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;GIUGLIANO T.GAS;ENEL;80019 QUALIANO NA;QUALIANO;NA;40,9189811;14,1534894;CSUD;Unità di Produzione n 1 dell`Impianto GIUGLIANO T.GAS;TERMICO;TURBOGAS;NO;NO;NO;9,5;87,3
UP_GIUGLIANO_2;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;GIUGLIANO T.GAS;ENEL;80019 QUALIANO NA;QUALIANO;NA;40,9239811;14,1464894;CSUD;Unità di Produzione n 2 dell`Impianto GIUGLIANO T.GAS;TERMICO;TURBOGAS;NO;NO;NO;9,5;87,3
UP_GIUGLIANO_3;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;GIUGLIANO T.GAS;ENEL;80019 QUALIANO NA;QUALIANO;NA;40,9289811;14,1394894;CSUD;Unità di Produzione n 3 dell`Impianto GIUGLIANO T.GAS;TERMICO;TURBOGAS;NO;NO;NO;9,5;87,3
UP_GIUGLIANO_4;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;GIUGLIANO T.GAS;ENEL;80019 QUALIANO NA;QUALIANO;NA;40,9339811;14,1324894;CSUD;Unità di Produzione n 4 dell`Impianto GIUGLIANO T.GAS;TERMICO;TURBOGAS;NO;NO;NO;9,5;87,3
UP_GOGLIO_3;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;GOGLIO;ENEL;28861 BACENO VB;BACENO;VB;46,2621589;8,3192629;NORD;UP_GOGLIO_DEVERO 19,6 MW DERIVAZIONE DI CENTRALE DEVERO ;IDRICO;FLUENTE;SI;SI;NO;0;19,6
UP_GRTTFUMATA_1;;ENEL PRODUZIONE SPA;ENEL PRODUZIONE SPA;GROTTAFUMATA;ENEL;94100 ENNA EN;ENNA;EN;37,5655551;14,2751913;SICI;UP ASSOCIATA ALL`IMPIANTO GROTTAFUMATA;IDRICO;SERBATOIO;SOSPESA;NO;NO;1;10
